first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Robert,B.,Aderholt,AL,4,R,2018,A000055,https://api.propublica.org/congress/v1/members/A000055.json,aderholt.house.gov,https://aderholt.house.gov,RobertAderholt,19787529402,Robert_Aderholt,/m/024p03,https://aderholt.house.gov/rss.xml,85,0,0.00,0,96.47,null,22,null
Justin,null,Amash,MI,3,R,2018,A000367,https://api.propublica.org/congress/v1/members/A000367.json,amash.house.gov,http://amash.house.gov,repjustinamash,173604349345646,null,/m/0c00p_n,http://amash.house.gov/rss.xml,85,0,0.00,0,85.88,null,8,null
Mark,null,Amodei,NV,2,R,2018,A000369,https://api.propublica.org/congress/v1/members/A000369.json,amodei.house.gov,https://amodei.house.gov,MarkAmodeiNV2,307227745970624,MarkAmodeiNV2,/m/03bzdkn,https://amodei.house.gov/common/rss/?rss=49,85,0,0.00,0,97.65,null,8,null
Alma,null,Adams,NC,12,D,2018,A000370,https://api.propublica.org/congress/v1/members/A000370.json,null,http://adams.house.gov,CongresswomanAdams,null,RepAdams,/m/02b45d,http://adams.house.gov/rss.xml,85,1,1.18,0,96.43,null,6,null
Pete,null,Aguilar,CA,31,D,2018,A000371,https://api.propublica.org/congress/v1/members/A000371.json,null,https://aguilar.house.gov,reppeteaguilar,null,reppeteaguilar,/m/0jwv0xf,https://aguilar.house.gov/rss.xml,85,0,0.00,0,95.29,null,4,null
Rick,null,Allen,GA,12,R,2018,A000372,https://api.propublica.org/congress/v1/members/A000372.json,allen.house.gov,http://allen.house.gov,CongressmanRickAllen,null,reprickallen,/m/047bdf,null,85,0,0.00,0,97.65,null,4,null
Ralph,null,Abraham,LA,5,R,2018,A000374,https://api.propublica.org/congress/v1/members/A000374.json,null,https://abraham.house.gov,CongressmanRalphAbraham,null,RepAbraham,/m/012dwd7_,https://abraham.house.gov/rss.xml,85,0,0.00,0,97.65,null,4,null
Jodey,null,Arrington,TX,19,R,2018,A000375,https://api.propublica.org/congress/v1/members/A000375.json,arrington.house.gov,https://arrington.house.gov,JodeyArrington,null,RepArrington,/m/0g9_f_1,https://arrington.house.gov/rss.xml,85,0,0.00,0,97.65,null,2,null
Joe,L.,Barton,TX,6,R,2018,B000213,https://api.propublica.org/congress/v1/members/B000213.json,joebarton.house.gov,https://joebarton.house.gov,RepJoeBarton,15617630596,RepJoeBarton,/m/03rspq,null,85,2,2.35,0,97.59,null,34,null
Xavier,null,Becerra,CA,34,D,2018,B000287,https://api.propublica.org/congress/v1/members/B000287.json,becerra.house.gov,http://becerra.house.gov,XavierBecerra,90311772229,RepBecerra,/m/024trk,https://becerra.house.gov/rss/press-releases.xml,61,42,68.85,0,89.47,null,26,null
Sanford,D.,Bishop Jr.,GA,2,D,2018,B000490,https://api.propublica.org/congress/v1/members/B000490.json,bishop.house.gov,http://bishop.house.gov,sanfordbishop,366739521606,SanfordBishop,/m/02554k,http://bishop.house.gov/rss.xml,85,6,7.06,0,89.87,null,26,null
Earl,null,Blumenauer,OR,3,D,2018,B000574,https://api.propublica.org/congress/v1/members/B000574.json,blumenauer.house.gov,https://blumenauer.house.gov,null,null,BlumenauerMedia,/m/033tw8,null,85,6,7.06,0,92.41,null,24,null
Kevin,null,Brady,TX,8,R,2018,B000755,https://api.propublica.org/congress/v1/members/B000755.json,kevinbrady.house.gov,http://kevinbrady.house.gov,kevinbrady,9307301412,RepKevinBrady,/m/03tq00,null,85,2,2.35,0,97.59,null,22,null
Robert,A.,Brady,PA,1,D,2018,B001227,https://api.propublica.org/congress/v1/members/B001227.json,www.brady.house.gov,http://brady.house.gov,RepRobertBrady,118845109487,RepBrady,/m/03tq5z,http://brady.house.gov/rss.xml,85,1,1.18,0,95.24,null,22,null
