first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Lamar,null,Alexander,TN,null,R,2020,A000360,https://api.propublica.org/congress/v1/members/A000360.json,null,https://www.alexander.senate.gov/public/index.cfm/home,senatorlamaralexander,89927603836,SenAlexander,/m/01rbs3,http://www.alexander.senate.gov/public/?a=RSS.Feed,64,1,1.56,0,95.24,null,15,null
Roy,null,Blunt,MO,null,R,2022,B000575,https://api.propublica.org/congress/v1/members/B000575.json,null,http://www.blunt.senate.gov/public,SenatorBlunt,142473042477322,RoyBlunt,/m/034fn4,http://www.blunt.senate.gov/public/?a=RSS.Feed,64,2,3.13,0,95.16,null,7,null
Sherrod,null,Brown,OH,null,D,2018,B000944,https://api.propublica.org/congress/v1/members/B000944.json,www.brown.senate.gov,https://www.brown.senate.gov,null,null,SenSherrodBrown,/m/034s80,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,64,0,0.00,0,96.88,null,5,null
Richard,M.,Burr,NC,null,R,2022,B001135,https://api.propublica.org/congress/v1/members/B001135.json,burr.senate.gov,http://www.burr.senate.gov,SenatorRichardBurr,132653626787856,SenatorBurr,/m/03g_s9,null,64,0,0.00,0,96.88,null,13,null
Tammy,null,Baldwin,WI,null,D,2018,B001230,https://api.propublica.org/congress/v1/members/B001230.json,baldwin.senate.gov,https://www.baldwin.senate.gov,TammyBaldwin,7357041101,SenatorBaldwin,/m/024v02,http://www.baldwin.senate.gov/rss/feeds/?type=all,64,0,0.00,0,95.31,null,5,null
John,null,Boozman,AR,null,R,2022,B001236,https://api.propublica.org/congress/v1/members/B001236.json,null,https://www.boozman.senate.gov/public/index.cfm/home,JohnBoozman,7686715735,JohnBoozman,/m/024s3v,http://www.boozman.senate.gov/public/index.cfm/rss/feed,64,0,0.00,0,93.75,null,7,null
John,null,Barrasso,WY,null,R,2018,B001261,https://api.propublica.org/congress/v1/members/B001261.json,www.barrasso.senate.gov,http://www.barrasso.senate.gov,johnbarrasso,21146775942,SenJohnBarrasso,/m/02rsm32,null,64,0,0.00,0,95.31,null,11,null
Michael,null,Bennet,CO,null,D,2022,B001267,https://api.propublica.org/congress/v1/members/B001267.json,www.bennet.senate.gov,https://www.bennet.senate.gov,senatorbennet,97172997732,SenBennetCo,/m/05b60qf,null,64,0,0.00,0,95.31,null,9,null
Richard,null,Blumenthal,CT,null,D,2022,B001277,https://api.propublica.org/congress/v1/members/B001277.json,null,https://www.blumenthal.senate.gov,SenBlumenthal,289987304364966,SenBlumenthal,/m/03tg8m,http://www.blumenthal.senate.gov/rss/feeds/?type=press,64,1,1.56,0,92.06,null,7,null
Cory,null,Booker,NJ,null,D,2020,B001288,https://api.propublica.org/congress/v1/members/B001288.json,www.booker.senate.gov/,http://www.booker.senate.gov,null,null,CoryBooker,/m/06p430,http://www.booker.senate.gov/rss/,64,0,0.00,0,89.06,null,5,null
